,page_id,page_name,week_0_community,week_1_community,week_2_community,week_3_community,week_4_community,week_5_community,week_6_community,week_7_community,week_8_community,week_9_community,week_10_community,week_11_community,week_12_community,week_13_community
0,15704546335,Fox News,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,153080620724,Donald J. Trump,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,346937065399354,Occupy Democrats,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,18468761129,HuffPost,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,205344452828349,George Takei,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,199098633470668,LADbible,3,2,3,3,3,2,3,2,3,3,3,3,3,2
6,5281959998,The New York Times,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,179035672287016,Unknown Page Name ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,114517875225866,The Other 98%,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,354522044588660,Upworthy,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,5550296508,CNN,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,21785951839,9GAG,3,2,3,3,3,2,3,2,3,3,3,3,3,2
12,10643211755,NPR,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,112723252096438,The Political Insider,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,124955570892789,Bernie Sanders,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,86680728811,ABC News,3,3,3,3,3,3,3,3,3,3,3,3,3,2
16,341163402640457,NowThis,3,2,3,2,2,2,2,2,3,3,2,3,3,2
17,889307941125736,Hillary Clinton,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,22067606728,Allen West,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,21898300328,BuzzFeed,2,2,2,2,2,2,2,2,2,2,2,2,2,3
20,997108126967413,Anonymous,3,3,3,3,3,2,3,3,3,3,3,3,3,3
21,9124187907,U.S. Senator Bernie Sanders,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,339226922847416,AWM America,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,95475020353,Breitbart,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,908009612563863,NowThis Politics,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25,133961323610549,Donald Trump For President,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,12566691349,Today Show,3,3,3,3,3,3,3,3,3,3,3,3,3,2
27,20950654496,The Onion,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28,177486166274,Being Liberal,2,2,2,2,2,2,2,2,2,2,2,2,2,2
29,129255907131113,NumbersUSA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,407570359384477,AJ+,3,2,3,2,2,2,2,2,3,2,2,2,3,2
31,59306617060,Good Morning America,3,3,3,3,3,3,3,3,3,3,3,3,3,2
32,226821494115353,Unknown Page Name 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,519305544814653,Conservative Tribune by WJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,160389977329803,ATTN:,3,2,2,2,2,2,2,2,2,2,2,2,2,2
35,174742062548592,Mic,2,2,2,2,2,2,2,2,2,2,2,2,2,2
36,164305410295882,Daily Mail,3,2,3,3,3,2,3,2,3,3,3,3,3,2
37,123624513983,The Western Journal,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,228735667216,BBC News,2,2,2,2,2,2,2,2,2,2,2,2,2,2
39,721683147909323,The New Resistance,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,157750900979288,God,2,2,2,2,2,2,2,2,2,2,2,2,2,2
41,184859785026060,Unknown Page Name 2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,155869377766434,NBC News,2,2,2,2,2,2,2,2,2,2,2,2,2,2
43,107705785934333,The Federalist Papers,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,13652355666,USA TODAY,3,3,3,2,2,3,3,3,2,3,2,2,3,2
45,142474049098533,Robert Reich,2,2,2,2,2,2,2,2,2,2,2,2,2,2
46,133352176797969,The Comical Conservative,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,389658314427637,Unknown Page Name 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,62507427296,Bill Maher,2,2,2,2,2,2,2,2,2,2,2,2,2,2
49,610045389164725,Unknown Page Name 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50,6250307292,Washington Post,2,2,2,2,2,2,2,2,2,2,2,2,2,2
51,21124264380,Unknown Page Name 5,3,3,3,3,3,2,3,3,3,3,3,3,3,2
52,513813158657249,Mad World News,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,56845382910,HuffPost Politics,2,2,2,2,2,2,2,2,2,2,2,2,2,2
54,31732483895,The Tonight Show Starring Jimmy Fallon,3,3,3,2,3,3,3,3,3,3,3,3,3,2
55,122560544447547,Someecards,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,165297924363,Gary Johnson,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57,7331091005,Bleacher Report,3,3,3,3,3,2,3,3,3,3,3,3,3,3
58,24718773587,Sarah Palin,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,69813760388,Sean Hannity,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,189885532970,IJR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,43179984254,Daily Kos,2,2,2,2,2,2,2,2,2,2,2,2,2,2
62,138691142964027,Dr. Ben & Candy Carson,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,221573484697614,Conservative Post,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,253968658003230,Worldstar Hip Hop,3,3,3,3,3,2,3,3,3,3,3,3,3,2
65,142125212473533,Unknown Page Name 6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,34226391050,Opposing Views,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,182919686769,The Daily Caller,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,36019593759,Judge Jeanine Pirro,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,111938618893743,Fox & Friends,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,295199098300,Scary Mommy,2,2,2,2,2,3,2,3,2,2,2,2,2,2
71,136264019722601,Rush Limbaugh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,169676909894983,Unknown Page Name 7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,10128918116,Gavin Newsom,2,2,2,2,2,2,2,2,2,2,2,2,2,2
74,114364638621903,ForAmerica,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,114270361928171,Americans Against The Republican Party,2,2,2,2,2,2,2,2,2,2,2,2,2,2
76,86973707921,Refinery29,3,2,3,2,2,2,2,2,3,3,2,2,3,2
77,591402597574018,Tell Me Now,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,235203259169,Unknown Page Name 8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,133279166727577,The Tea Party Community by WJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,440106476051475,Unknown Page Name 9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,228702593913193,Unknown Page Name 10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,219856014723410,D.L. Hughley,3,2,2,2,2,2,2,2,2,2,2,2,2,2
83,253546571389025,Bipartisan Report,2,2,2,2,2,2,2,2,2,2,2,2,2,2
84,169204449790211,Conservative News Today,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,216709768355686,Dinesh D'Souza,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,289079127883350,Newsiosity,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,22156858944,Explore Talent - Acting and Modeling,3,3,3,3,3,2,3,3,3,3,3,3,3,3
88,868219436604578,Tomi Lahren,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,6622931938,Channel 4 News,3,2,3,3,2,2,2,2,3,3,3,2,3,3
90,5633824547,FreedomWorks,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,7642602143,Mother Jones,2,2,2,2,2,2,2,2,2,2,2,2,2,2
92,180213475460766,Unknown Page Name 11,2,2,2,2,2,2,2,2,2,2,2,2,2,2
93,380516878697366,Madam President,2,2,2,2,2,2,2,2,2,2,2,2,2,2
94,6934857868,Mike Huckabee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,146422995398181,Addicting Info,2,2,2,2,2,2,2,2,2,2,2,2,2,2
96,158924294183807,Unknown Page Name 12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,95926963131,People,3,3,3,3,3,3,3,3,3,3,3,3,3,2
98,38423635680,Andy Borowitz,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,307188559330028,Cold Dead Hands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
